   ,STRING,extra,,"Extra columns, in JSON format. Queries against this column are performed entirely in SQLite, so do not benefit from efficient querying via asl.h."
TATTR,
------------------------------
TABLE,augeas
DESC,Configuration files parsed by augeas.
TALIAS,configurations
   ,STRING,node,INDEX,"The node path of the configuration item"
   ,STRING,value,,"The value of the configuration item"
   ,STRING,label,,"The label of the configuration item"
   ,STRING,path,ADDITIONAL,"The path to the configuration file"
TATTR,
------------------------------
TABLE,authenticode
DESC,File (executable, bundle, installer, disk) code signing status.
   ,STRING,path,REQUIRED,"Must provide a path or directory"
   ,STRING,original_program_name,,"The original program name that the publisher has signed"
   ,STRING,serial_number,,"The certificate serial number"
   ,STRING,issuer_name,,"The certificate issuer name"
   ,STRING,subject_name,,"The certificate subject name"
   ,STRING,result,,"The signature check result"
TATTR,
------------------------------
TABLE,authorization_mechanisms
DESC,OS X Authorization mechanisms database.
   ,STRING,label,INDEX,"Label of the authorization right"
   ,STRING,plugin,,"Authorization plugin name"
   ,STRING,mechanism,,"Name of the mechanism that will be called"
   ,STRING,privileged,,"If privileged it will run as root, else as an anonymous user"
   ,STRING,entry,,"The whole string entry"
TATTR,
------------------------------
TABLE,authorizations
DESC,OS X Authorization rights database.
   ,STRING,label,INDEX,"Item name, usually in reverse domain format"
   ,STRING,modified,,"Label top-level key"
   ,STRING,allow_root,,"Label top-level key"
   ,STRING,timeout,,"Label top-level key"
   ,STRING,version,,"Label top-level key"
   ,STRING,tries,,"Label top-level key"
   ,STRING,authenticate_user,,"Label top-level key"
   ,STRING,shared,,"Label top-level key"
   ,STRING,comment,,"Label top-level key"
   ,STRING,created,,"Label top-level key"
   ,STRING,class,,"Label top-level key"
   ,STRING,session_owner,,"Label top-level key"
TATTR,
------------------------------
TABLE,authorized_keys
DESC,A line-delimited authorized_keys table.
   ,INT64,uid,ADDITIONAL,"The local owner of authorized_keys file"
   ,STRING,algorithm,,"algorithim of key"
   ,STRING,key,INDEX,"parsed authorized keys line"
   ,STRING,key_file,INDEX,"Path to the authorized_keys file"
TATTR,USER_BASED,
------------------------------
TABLE,autoexec
DESC,Aggregate of executables that will automatically execute on the target machine. This is an amalgamation of other tables like services, scheduled_tasks, startup_items and more.
   ,STRING,path,INDEX,"Path to the executable"
   ,STRING,name,,"Name of the program"
   ,STRING,source,,"Source table of the autoexec item"
TATTR,
------------------------------
TABLE,battery
DESC,Provides information about the internal battery of a Macbook.
   ,STRING,manufacturer,,"The battery manufacturer's name"
   ,INT,manufacture_date,,"The date the battery was manufactured UNIX Epoch"
   ,STRING,model,,"The battery's model number"
   ,STRING,serial_number,,"The battery's unique serial number"
   ,INT,cycle_count,,"The number of charge/discharge cycles"
   ,STRING,health,,"One of the following: "Good" describes a well-performing battery, "Fair" describes a functional battery with limited capacity, or "Poor" describes a battery that's not capable of providing power"
